Num,Code,Name,URL
1,3854,アイル,http://www.ill.co.jp/
2,3189,ＡＮＡＰ,http://www.anap.co.jp/
3,3070,アマガサ,http://www.amagasa-co.com/
4,2195,アミタホールディングス,http://www.amita-hd.co.jp/
5,3814,アルファクス・フード・システム,http://www.afs.co.jp/
6,3140,イデアインターナショナル,http://www.idea-in.com/
7,3803,イメージ情報開発,http://www.image-inf.co.jp
8,2388,ウェッジホールディングス,http://www.wedge-hd.com/
9,8938,ＬＣホールディングス,http://www.lc-holdings.jp/
10,7855,カーディナル,http://www.cardinal.co.jp/
11,4572,カルナバイオサイエンス,http://www.carnabio.com/
12,4240,クラスターテクノロジー,http://www.cluster-tech.co.jp/
13,2425,ケアサービス,http://www.care.co.jp/
14,2180,サニーサイドアップ,http://www.ssu.co.jp/
15,1408,サムシングホールディングス,http://www.sthd.co.jp/
16,4764,ＳＡＭＵＲＡＩ＆Ｊ　ＰＡＲＴＮＥＲＳ,https://www.sajp.co.jp/
17,1739,シード平和,http://www.seedheiwa.co.jp/
18,2479,ジェイテック,http://www.j-tec-cor.co.jp/
19,3777,ジオネクスト,http://www.geo-nx.com/
20,7774,ジャパン・ティッシュ・エンジニアリング,http://www.jpte.co.jp/
21,9385,ショーエイコーポレーション,http://www.shoei-corp.co.jp/
22,4582,シンバイオ製薬,http://www.symbiopharma.com/
23,7777,スリー・ディー・マトリックス,http://www.3d-matrix.co.jp/
24,3042,セキュアヴェイル,http://www.secuavail.com/
25,7776,セルシード,http://www.cellseed.com/
26,2321,ソフトフロントホールディングス,http://www.softfront.co.jp/
27,2164,地域新聞社,http://www.chiikinews.co.jp/
28,4576,デ・ウエスタン・セラピテクス研究所,http://www.dwti.co.jp
29,4772,デジタルアドベンチャー,http://www.digiadv.co.jp/
30,3625,テックファームホールディングス,http://www.techfirm-hd.com/
31,4840,トライアイズ,http://www.triis.co.jp/
32,3842,ネクストジェン,http://www.nextgen.co.jp/
33,2173,博展,http://www.hakuten.co.jp/
34,4833,ぱど,http://www.pado.co.jp/
35,4316,ビーマップ,http://www.bemap.co.jp/
36,3807,フィスコ,http://www.fisco.co.jp/
37,4570,免疫生物研究所,http://www.ibl-japan.co.jp/
38,2144,やまねメディカル,http://www.ymmd.co.jp/
39,8885,ラ・アトレ,http://www.lattrait.co.jp/
40,4579,ラクオリア創薬,http://www.raqualia.co.jp
41,4978,リプロセル,http://www.reprocell.com
42,1400,ルーデン・ホールディングス,http://www.ruden.jp/
